"chat","yhat"
0,15.9049932161527
1,14.3216414836251
0,16.0061068189388
0,10.5910389994045
0,15.0244823549538
1,16.0727957680419
0,16.119222731269
0,14.7115109502816
0,11.8232338007327
0,16.483490803994
0,12.3845956127688
0,13.5396316389355
0,13.0168796068158
0,14.7278124254065
0,14.291423053587
0,13.8148432154446
0,14.6380366468482
0,15.3004985762075
1,13.9373139596454
1,12.6642479919229
0,12.862234731415
0,10.8378940727145
0,16.1901402928418
0,15.1411355485648
0,14.5426400643523
1,13.7784081345283
0,16.2270584653718
0,14.8465840363857
0,13.9599486647461
0,11.3460647152826
0,13.7958368296812
1,17.4846197607733
0,12.4784102381135
0,13.4587104791472
0,13.8618240509409
0,13.8980188347106
0,12.4743729948724
0,12.9359890585821
0,12.0973655560578
0,14.0221231556177
0,16.4995102684499
0,14.1180734978394
0,16.0185029117034
0,12.3385475720581
0,10.9374174281153
0,13.4018583320327
0,12.4706650625801
0,13.3740804849558
0,14.6525963243682
0,14.9592055748591
0,15.1442719493113
0,14.8117417776544
0,15.3812394412502
0,11.2715047837108
0,12.6444663790455
0,13.3987309278325
0,10.5391243517713
1,13.1921962108591
0,12.8449989255813
0,14.1118483235441
1,13.5056568418066
1,12.6371329771606
0,13.3132426691161
0,15.3663956686024
0,14.2719408941772
0,14.5727410682367
0,11.3442270259565
0,14.5325834799467
0,13.8330524493497
0,11.8412458917875
1,17.4012114972606
0,13.4212753855208
1,15.6044511307207
1,16.9227642694917
0,13.7559814203747
0,15.0510612551294
0,13.518746968096
0,14.9539832083224
0,13.5105510506543
0,14.5832090407008
0,14.9174722674547
0,10.582066529108
0,14.0252675295024
0,12.9948433909931
0,15.0627912558031
0,10.9972149038684
0,13.465164456706
0,15.1659366261154
0,15.2554296596605
0,16.1835391258733
0,15.2779515457544
0,18.2933161549733
0,13.2867218147188
0,15.508281787289
0,15.1079277230639
0,17.4413808298371
0,14.52681005234
0,16.2852265963522
1,16.3058802953432
0,14.2998911581982
0,12.2893866764105
1,18.6127865076914
0,14.2517968067688
0,13.8754183323053
0,13.8472173654
0,16.1040347497407
0,13.6773595875368
0,15.0654289922748
0,15.1196950083135
0,14.6720738722273
0,15.5004747375131
0,13.6305274539517
0,13.6828175382504
1,13.0897897841649
0,13.7702270247315
0,13.1545857234805
0,12.4127758529583
0,12.8952757531757
0,12.9572309617788
0,11.9575193289941
0,12.2209833702194
0,13.5415090533322
0,13.7542351391954
0,11.5711075588462
0,15.7823675902475
0,13.3074854513437
0,13.9668945463701
1,16.2120287412262
0,13.6751850672037
0,11.2155266296604
0,11.5261370130353
0,16.446095978539
0,13.7067776307675
1,14.2037038916089
0,12.8717075726033
0,13.8219666542305
0,13.4350244907351
0,15.7692015803902
0,14.6739057046841
0,14.6513935876916
0,13.0242068354354
0,10.2707689849369
1,14.289772268777
0,14.8812240978227
0,17.2414491000364
0,16.3870917478482
0,12.0880040446815
0,12.8688390979322
0,16.2369272298506
1,14.9581658841404
0,13.2181223863859
0,13.8311117653607
0,15.630867547888
0,13.4509018006034
0,13.9015291504673
0,14.0347937867989
0,14.6534655736329
0,14.8087497896458
0,13.872205208811
0,11.464446695835
1,15.4808132259205
0,12.2280708490977
1,17.0277584537151
0,16.1883157044016
1,13.582915817635
0,12.809901566156
0,13.2368065032599
0,13.5088020807475
0,12.6467187944426
0,12.5006088682705
0,15.7701117063428
0,15.3625493144581
1,13.6543412197614
0,13.3156655064491
0,13.8387520719099
0,12.6843019301027
0,14.7875041125758
0,16.5883482356567
0,14.0890536927911
0,12.1543407733025
1,14.0132925369939
0,14.2763959519433
1,14.2284047832574
0,14.0708152289559
1,10.8416260427397
0,14.2139962560691
0,11.4838327640505
0,12.7101234022188
0,12.5131754935446
0,12.1790382461516
0,15.5761840350374
0,16.5321025145023
0,12.3292530347293
1,13.7433565194887
